S.NO,Name,Nationality,Current Rank,Previous Year Rank,Sport,Year,earnings ($ million)
242,Floyd Mayweather,USA,1,1,Boxing,2015,300
272,Floyd Mayweather,USA,1,>100,Boxing,2018,285
172,Tiger Woods,USA,1,1,golf,2008,115
182,Tiger Woods,USA,1,1,golf,2009,110
192,Tiger Woods,USA,1,1,golf,2010,105
232,Floyd Mayweather,USA,1,14,Boxing,2014,105
162,Tiger Woods,USA,1,1,golf,2007,100
152,Tiger Woods,USA,1,1,golf,2006,90
287,Russell Wilson,USA,6,??,American Football,2019,89.5
288,Aaron Rogers,USA,7,??,American Football,2019,89.3
289,LeBron James,USA,8,6,Basketball,2019,89
296,LeBron James,USA,5,8,Basketball,2020,88.2
142,Tiger Woods,USA,1,1,golf,2005,87
263,LeBron James,USA,2,3,Basketball,2017,86.2
277,LeBron James,USA,6,2,Basketball,2018,85.5
212,Floyd Mayweather,USA,1,?,Boxing,2012,85
132,Tiger Woods,USA,1,1,golf,2004,80.3
290,Stephen Curry,USA,9,8,Basketball,2019,79.8
71,Michael Jordan,USA,1,2,Basketball,1997,78.3
222,Tiger Woods,USA,1,3,Golf,2013,78.1
122,Tiger Woods,USA,1,1,Golf,2003,78
254,LeBron James,USA,3,6,Basketball,2016,77.2
279,Stephen Curry,USA,8,8,Basketball,2018,76.9
61,Mike Tyson,USA,1,2,Boxing,1996,75
202,Tiger Woods,USA,1,1,golf,2011,75
297,Stephen Curry,USA,6,9,Basketball,2020,74.4
234,LeBron James,USA,3,4,Basketball,2014,72.3
81,Michael Jordan,USA,1,,Basketball,1998,69
111,Tiger Woods,USA,1,2,Golf,2002,69
280,Matt Ryan,USA,9,>100,American Football,2018,67.3
291,Kevin Durant,USA,10,11,Basketball,2019,65.4
193,Floyd Mayweather,USA,2,>10,boxing,2010,65
247,LeBron James,USA,6,3,Basketball,2015,64.8
298,Kevin Durant,USA,7,10,Basketball,2020,63.9
299,Tiger Woods,USA,8,11,Golf,2020,62.3
224,Kobe Bryant,USA,3,6,Basketball,2013,61.9
236,Kobe Bryant,USA,5,3,Basketball,2014,61.5
237,Tiger Woods,USA,6,1,Golf,2014,61.2
266,Kevin Durant,USA,5,5,Basketball,2017,60.6
11,Evander Holyfield,USA,1,8,boxing,1991,60.5
300,Kirk Cousins,USA,9,>100,American Football,2020,60.5
225,LeBron James,USA,4,4,Basketball,2013,59.8
281,Matthew Stafford,USA,10,>100,American Football,2018,59.5
214,Tiger Woods,USA,3,1,Golf,2012,59.4
301,Carson Wentz,USA,10,>100,American Football,2020,59.1
256,Kevin Durant,USA,5,7,Basketball,2016,56.2
154,Muhammad Ali,USA,3,>10,boxing,2006,55
72,Evander Holyfield,USA,2,6,Boxing,1997,54.3
248,Kevin Durant,USA,7,20,Basketball,2015,54.2
239,Phil Mickelson,USA,8,7,Golf,2014,53.2
258,Cam Newton,USA,7,>20,American Football,2016,53.1
102,Tiger Woods,USA,2,2,Golf,2000,53
203,Kobe Bryant,USA,2,3,basketball,2011,53
215,LeBron James,USA,4,3,Basketball,2012,53
259,Phil Mickelson,USA,8,8,Golf,2016,52.9
260,Jordan Spieth,USA,9,>20,Golf,2016,52.8
62,Michael Jordan,USA,2,1,Basketball,1996,52.6
217,Kobe Bryant,USA,6,2,Basketball,2012,52.3
226,Drew Brees,USA,5,?,American Football,2013,51
249,Phil Mickelson,USA,8,8,Golf,2015,50.8
250,Tiger Woods,USA,9,6,Golf,2015,50.6
261,Kobe Bryant,USA,10,10,Basketball,2016,50
267,Andrew Luck,USA,6,,American Football,2017,50
251,Kobe Bryant,USA,10,5,Basketball,2015,49.5
227,Aaron Rodgers,USA,6,?,American Football,2013,49
228,Phil Mickelson,USA,7,7,Golf,2013,48.7
103,Mike Tyson,USA,3,6,Boxing,2000,48
194,Kobe Bryant,USA,3,2,basketball,2010,48
204,LeBron James,USA,3,7,basketball,2011,48
218,Phil Mickelson,USA,7,5,Golf,2012,47.8
269,Stephen Curry,USA,8,,Basketball,2017,47.3
92,Tiger Woods,USA,2,4,Golf,1999,47
155,Phil Mickelson,USA,4,>10,golf,2006,47
270,James Harden,USA,9,,Basketball,2017,46.6
206,Phil Mickelson,USA,5,4,golf,2011,46.5
195,Phil Mickelson,USA,4,6,golf,2010,46
174,Michael Jordan,USA,3,9,basketball,2008,45
175,Phil Mickelson,USA,3,3,golf,2008,45
183,Kobe Bryant,USA,2,6,basketball,2009,45
184,Michael Jordan,USA,2,3,basketball,2009,45
51,Michael Jordan,USA,1,1,basketball,1995,43.9
241,Matt Ryan,USA,10,>100,American Football,2014,43.8
93,Oscar De La Hoya,USA,3,7,Boxing,1999,43.5
163,Oscar De La Hoya,USA,2,>10,boxing,2007,43
198,LeBron James,USA,7,6,basketball,2010,42.8
221,Peyton Manning,USA,10,7,American Football,2012,42.4
134,Peyton Manning,USA,3,>10,American Football,2004,42
164,Phil Mickelson,USA,3,4,golf,2007,42
52,Mike Tyson,USA,2,not ranked,boxing,1995,40
94,Michael Jordan,USA,4,1,Basketball,1999,40
187,LeBron James,USA,6,7,basketball,2009,40
188,Phil Mickelson,USA,6,3,golf,2009,40
200,Eli Manning,USA,9,>10,American Football,2010,39.9
177,Kobe Bryant,USA,6,7,basketball,2008,39
201,Terrell Suggs,USA,10,>10,American Football,2010,38.3
73,Oscar De La Hoya,USA,3,17,Boxing,1997,38
144,Oscar De La Hoya,USA,3,>10,boxing,2005,38
178,LeBron James,USA,7,>10,basketball,2008,38
145,Michael Vick,USA,4,>10,American Football,2005,37.5
104,Michael Jordan,USA,4,4,Basketball,2000,37
31,Michael Jordan,USA,1,1,Basketball,1993,36
113,Michael Jordan,USA,3,4,Basketball,2002,36
21,Michael Jordan,USA,1,3,Basketball,1992,35.9
95,Evander Holyfield,USA,5,>10,Boxing,1999,35.5
124,Michael Jordan,USA,3,3,Basketball,2003,35
135,Michael Jordan,USA,4,3,basketball,2004,35
191,Dale Earnhardt Jr.,USA,10,>10,NASCAR,2009,34
146,Shaquille O'Neal,USA,5,5,basketball,2005,33.4
96,Mike Tyson,USA,6,>10,Boxing,1999,33
147,Michael Jordan,USA,6,4,basketball,2005,33
168,Kobe Bryant,USA,6,>10,basketball,2007,33
156,Michael Jordan,USA,5,6,basketball,2006,32
169,Shaquille O'Neal,USA,8,7,basketball,2007,32
136,Shaquille O'Neal,USA,5,4,basketball,2004,31.9
12,Mike Tyson,USA,2,1,boxing,1991,31.5
97,Shaq O'Neal,USA,7,>10,Basketball,1999,31
157,Kobe Bryant,USA,6,8,basketball,2006,31
171,Michael Jordan,USA,9,5,basketball,2007,31
125,Shaq O'Neal,USA,4,5,Basketball,2003,30.5
41,Michael Jordan,USA,1,1,Basketball,1994,30
126,Oscar De La Hoya,USA,5,>10,Boxing,2003,30
